id,pdfPage,slot,layout,name,altNames,sizeMm,sizeFt,finish,thicknessMm,surface,category,subCategory,textureFile,textureUrl,nameOcrRaw,specsOcrRaw,confidence,note
sunflora-c011,11,2,B,Sp Iconic Beige Decor / Sp Iconic Beige Frame,SP Iconic Beige Decor 7 El Er I Ia Enc 7 X | Beige Frame,600×1200mm,2×4 Ft,Sparkle With Granulla,9.0,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p11-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p11-t1-clean.webp,SP Iconic Beige Decor 7 El Er I Ia Enc 7 X | Beige Frame,"= . J ¥ - | J | 3 id as ; +f e 4 : a . <"" _— ” Ya . , I 7 ‘i ¥ fey oe RS "" hh r ‘sm "" = P “oe 7’ : on i —~ - ” i 7 oo a P a ¢ Pe Se why, - = : - . * i . i . Py ~ 8 *. a : r¢ —. x . SAY t5% ' oe Y je 4",high,
sunflora-c012,12,2,B,Sp Omicron Beige,Ae Ys Eee | Fae Mo S Ten R Iw,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p12-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p12-t1-clean.webp,Ae Ys Eee | Fae Mo S Ten R Iw,", ‘ hd r ° mi Fo , 4 ; 4! eet fee ee Ree, f PO ‘. : 4% Fa f } , ‘4 - By a i Fig ‘ < j Pe ‘ » at .- "" ‘ A! : ur a a : 4 : * i = . b , = ae = 7. ae oe ea ae ae ~ _* 7 ‘ § is we wv “ . a 4 7, be all, _ L",high,
sunflora-c013,13,1,A,Sp Subway Black Decor,,600×1200mm,2×4 Ft,Sparkle With Granulla,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p13-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p13-t1-clean.webp,° con BLAC = SP SUBWAY BLACK DECOR,a Size |& 600x1200mm Finish *. SPARKLE WITH GRANULLA Random 1 I Thickness,high,
sunflora-c014,14,2,B,Sp Subway White Decor,Te Scsss Feo Ss | Ov En Ee - Po,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p14-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p14-t1-clean.webp,Te Scsss Feo Ss | Ov En Ee - Po,"i ” a ™ - a"" a x : ° - a * “ oF Pal ” ‘ , J J - - ce 2 os al —— - ” Py - “il d * "" baa a * 4 * : - Wr er” . r . A AA ——~ Ma Se ama a 4 ————— : . _ oo. 4 _ ~ - = a - # J Md o : > ra - = = =—- - « > - <",high,
sunflora-c015,15,2,B,Sp Terra Black,Wa 4 W E In | We Eo -7 16 F,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p15-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p15-t1-clean.webp,Wa 4 W E In | We Eo -7 16 F,". Z 7 +8 2 ’ vy = = ; - @ 7. 4 = ae Zz oe“ gs @ s , . ¢€ r 7 4 > @ os a _ a . >. aN ee 4 = wa m bes ™ ‘ole a ee ‘ » . ded ~a i i—- * vw, @7 @* a W -~ 7 ~ a ° ba ”",high,
sunflora-c016,16,2,B,Sp Terra White,Kre A - Y Rt | Ll Il P 5 Yg E,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p16-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p16-t1-clean.webp,Kre A - Y Rt | Ll Il P 5 Yg E,«+o oe” As ak: ae b ve er wa oO. ad > “»s al . ‘ ® J ek 2%. . = - “! f . » 7 a 4 se ay & % @ y — = pwr % _* . a Pou : 5-4 9 “o® < > 7 y ! v : by Mm wee ge” sae yo. ¢ > . ws Oo Le Oo 8 & ¢4 a * = a ¥ ™,high,
sunflora-c017,17,2,B,Sp Wing Pink,' . | Ss Veo,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p17-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p17-t1-clean.webp,' . | Ss Veo,"a - "" m= 2 ae all oa _ t | bd -~ : , , | , . - = ' : » = == ” ms ’ - w wl , . t tiie } a7 I — = ie . SP [ ik -_ oi ‘ . ri - = = ° 7 \ » . 4 ' . a —_— — - _ Pe 60 | —",high,
sunflora-c018,18,2,B,Subway Carara Decor / Subway Carara,Subway Carara Seco Subway Carara Decor | Sbubluebllewelube Weee,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p18-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p18-t1-clean.webp,Subway Carara Seco Subway Carara Decor | Sbubluebllewelube Weee,"SUBWAY CARARA DECOR ” ee : ba | a») i. ii i ih hi : iP | ~ a) | | an | | if bY | I i | |i | jie, AEC So ae — —e"" > — ee : a whe ji i =e a a - aa J ) — im iy —"" - ill — a _ a F a = . > - = - = 2 Ed _— ",high,
sunflora-c019,19,2,B,Sense Pearl Decor / Sense Pearl,Sense Pearl Decor | Fess,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p19-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p19-t1-clean.webp,Sense Pearl Decor | Fess,\ wh 2 be D @)}° : rv? co } : ey = . F; - . ee pew es ls L L =) . = f 4 * - “3 iit Fi = a Biers = : ae a — — oa 2. om: ar if GS Fe: r ” iT ‘ a ; a = ’ 1 . 3 ‘> “ >? ‘ 4 - | Cl am 1. ued fa . a Se [ e ,high,
sunflora-c020,20,1,A,Sense Flora Decor / Sense Flora,,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p20-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p20-t1-clean.webp,"~. C wa & e DC « © z = ; & - «. eof, ‘ oa OT ei ou a & a er oT 2 bt ££ & go ay —) ara - c ~ ane a 3. moe | Se. - bee é + mr 2e a r pw OF - bs z 7 Se - Cc L q - a on re) ~ ke int u4 71",* | 5,high,
