id,name,ocrName,sizeMm,finish,pdfPage,textureUrl
"sky12x18-c031","Sky 12x18 Concept #31","","450×300mm","Glossy","32","/assets/catalogue/clean_swatches/sky12x18-p32-t1-clean.webp"
"sky12x18-c050","Sky 12x18 Concept #50","","450×300mm","Glossy","51","/assets/catalogue/clean_swatches/sky12x18-p51-t1-clean.webp"
"sky12x18-c051","Sky 12x18 Concept #51","","450×300mm","Glossy","52","/assets/catalogue/clean_swatches/sky12x18-p52-t1-clean.webp"
"sky12x18-c058","Sky 12x18 Concept #58","","450×300mm","Matte","59","/assets/catalogue/clean_swatches/sky12x18-p59-t1-clean.webp"
"sky12x18-c065","Sky 12x18 Concept #65","","450×300mm","Glossy","66","/assets/catalogue/clean_swatches/sky12x18-p66-t1-clean.webp"
"sky12x18-c072","Sky 12x18 Concept #72","","450×300mm","Glossy","73","/assets/catalogue/clean_swatches/sky12x18-p73-t1-clean.webp"
